VaccinationDate,age_group,first_dose,second_dose
7/7/2021,40-49,664,147
7/7/2021,20-29,1029,231
7/7/2021,70-79,109,44
7/7/2021,30-39,822,248
7/7/2021,90+,24,7
7/7/2021,50-59,377,105
7/7/2021,0-19,11923,1599
7/7/2021,80-89,64,24
7/8/2021,50-59,408,123
7/8/2021,0-19,12623,1666
7/8/2021,60-69,244,75
7/8/2021,20-29,1220,270
7/8/2021,40-49,669,192
7/8/2021,30-39,949,257
7/8/2021,70-79,143,41
7/8/2021,90+,28,7
7/8/2021,80-89,78,21
7/9/2021,20-29,727,98
7/9/2021,50-59,287,49
7/9/2021,60-69,124,51
7/9/2021,90+,7,7
7/9/2021,40-49,487,95
7/9/2021,30-39,613,124
7/9/2021,70-79,62,18
7/9/2021,80-89,42,20
7/9/2021,0-19,8623,839
7/10/2021,70-79,24,7
7/10/2021,30-39,265,44
7/10/2021,60-69,68,7
7/10/2021,40-49,226,47
7/10/2021,50-59,133,22
7/10/2021,80-89,7,0
7/10/2021,20-29,338,61
7/10/2021,0-19,3621,113
