VaccinationDate,age_group,first_dose,second_dose
2/14/2021,0-19,6876,9896
2/14/2021,50-59,6964,8959
2/15/2021,40-49,12775,20487
2/15/2021,30-39,21516,12489
2/15/2021,70-79,1748,2117
2/15/2021,90+,207,283
2/15/2021,50-59,7852,9515
2/15/2021,80-89,812,1038
2/15/2021,0-19,7487,12365
2/15/2021,20-29,25069,13177
2/15/2021,60-69,3853,4017
2/16/2021,90+,167,239
2/16/2021,80-89,769,963
2/16/2021,70-79,1813,1939
2/16/2021,40-49,12698,18988
2/16/2021,60-69,3833,3505
2/16/2021,50-59,7606,8467
2/16/2021,30-39,21424,13712
2/16/2021,0-19,8488,14360
2/16/2021,20-29,26521,15864
2/17/2021,60-69,2384,2999
2/17/2021,40-49,9750,18276
2/17/2021,70-79,959,1593
2/17/2021,30-39,15884,12832
2/17/2021,90+,86,160
2/17/2021,80-89,371,708
2/17/2021,20-29,20629,15842
2/17/2021,0-19,6344,14979
2/17/2021,50-59,5389,7948
2/18/2021,90+,69,146
2/18/2021,50-59,6344,7947
2/18/2021,60-69,2866,3058
2/18/2021,30-39,17959,18768
2/18/2021,70-79,1048,1492
2/18/2021,40-49,11158,17725
2/18/2021,20-29,21855,15656
2/18/2021,80-89,386,640
2/18/2021,0-19,7290,14062
2/19/2021,50-59,3539,3692
2/19/2021,20-29,12678,6214
2/19/2021,90+,25,54
2/19/2021,60-69,1483,1330
2/19/2021,40-49,6390,9325
2/19/2021,70-79,475,592
2/19/2021,30-39,10568,10358
2/19/2021,80-89,184,259
2/19/2021,0-19,4217,6168
2/20/2021,70-79,435,393
2/20/2021,40-49,5222,7709
2/20/2021,30-39,7629,8138
2/20/2021,50-59,2939,2881
2/20/2021,0-19,3900,4451
2/20/2021,20-29,10139,4042
2/20/2021,60-69,1132,862
2/20/2021,80-89,160,145
2/20/2021,90+,28,21
2/21/2021,0-19,8545,10050
2/21/2021,80-89,767,825
2/21/2021,50-59,7312,7625
2/21/2021,40-49,12462,17576
2/21/2021,60-69,3804,3242
2/21/2021,70-79,1833,1730
2/21/2021,90+,175,212
2/21/2021,30-39,20577,22698
2/21/2021,20-29,23838,14386
2/22/2021,50-59,7698,7636
2/22/2021,0-19,8641,9506
2/22/2021,20-29,25438,18459
2/22/2021,80-89,880,875
2/22/2021,90+,207,245
2/22/2021,30-39,22714,23511
2/22/2021,70-79,2120,1758
2/22/2021,40-49,13002,15147
2/22/2021,60-69,4174,3215
2/23/2021,20-29,23924,16242
2/23/2021,0-19,8435,9105
2/23/2021,50-59,6990,6587
2/23/2021,40-49,11648,13032
2/23/2021,30-39,19661,19605
2/23/2021,70-79,1853,1680
2/23/2021,60-69,3682,2869
2/23/2021,90+,156,226
2/23/2021,80-89,844,882
2/24/2021,80-89,709,815
2/24/2021,0-19,6829,7775
2/24/2021,20-29,18746,15869
2/24/2021,70-79,1563,1567
2/24/2021,30-39,15147,17190
2/24/2021,90+,156,195
2/24/2021,60-69,2946,2688
2/24/2021,40-49,9278,10909
2/24/2021,50-59,5501,5862
2/25/2021,20-29,15241,18307
2/25/2021,80-89,615,648
2/25/2021,40-49,8277,10264
2/25/2021,70-79,1228,1231
2/25/2021,30-39,12891,20686
2/25/2021,60-69,2643,2296
2/25/2021,0-19,5388,5601
2/25/2021,50-59,5082,5348
2/25/2021,90+,141,160
2/26/2021,0-19,2642,2719
2/26/2021,80-89,289,240
2/26/2021,90+,51,67
2/26/2021,70-79,521,530
2/26/2021,30-39,6691,10534
2/26/2021,40-49,4279,5322
2/26/2021,60-69,1185,1075
2/26/2021,20-29,7505,8675
2/26/2021,50-59,2590,2725
2/27/2021,90+,17,34
2/27/2021,30-39,4159,6897
2/27/2021,70-79,344,265
2/27/2021,20-29,5737,6522
2/27/2021,0-19,2526,1959
2/27/2021,80-89,143,123
2/27/2021,50-59,1725,1606
2/27/2021,60-69,739,559
2/27/2021,40-49,2866,3162
2/28/2021,20-29,11355,16598
2/28/2021,30-39,9879,17073
2/28/2021,70-79,1110,1134
2/28/2021,90+,94,171
2/28/2021,40-49,6387,8613
2/28/2021,60-69,2147,2075
2/28/2021,50-59,3825,4523
2/28/2021,0-19,4827,4932
2/28/2021,80-89,541,592
3/1/2021,70-79,1329,1155
3/1/2021,30-39,11120,18933
3/1/2021,40-49,7133,8168
3/1/2021,60-69,2600,2175
3/1/2021,80-89,618,615
3/1/2021,90+,129,143
3/1/2021,20-29,13024,20631
3/1/2021,0-19,5063,4920
3/1/2021,50-59,4493,4525
3/2/2021,90+,121,222
3/2/2021,60-69,2798,2418
3/2/2021,70-79,1431,1191
3/2/2021,50-59,4363,5112
3/2/2021,40-49,6476,9015
3/2/2021,80-89,570,645
3/2/2021,0-19,4273,4846
3/2/2021,20-29,11464,22026
3/2/2021,30-39,9486,19046
3/3/2021,60-69,2825,2652
3/3/2021,50-59,4430,5535
3/3/2021,40-49,6516,9143
3/3/2021,70-79,1537,1299
3/3/2021,90+,131,183
3/3/2021,30-39,9284,19295
3/3/2021,20-29,11575,22759
3/3/2021,0-19,4844,5077
3/3/2021,80-89,631,615
3/4/2021,30-39,9019,22765
3/4/2021,70-79,1215,1401
3/4/2021,0-19,4448,6133
3/4/2021,20-29,10896,26472
3/4/2021,50-59,4345,6694
3/4/2021,80-89,514,634
3/4/2021,60-69,2537,3084
3/4/2021,40-49,6395,11523
3/4/2021,90+,106,141
3/5/2021,0-19,1760,3005
3/5/2021,80-89,202,266
3/5/2021,50-59,1974,3400
3/5/2021,30-39,4023,11733
3/5/2021,40-49,2946,6175
3/5/2021,60-69,1019,1461
3/5/2021,70-79,484,619
3/5/2021,20-29,4718,13599
3/5/2021,90+,40,64
3/6/2021,60-69,584,933
3/6/2021,20-29,3226,8312
3/6/2021,0-19,1439,2099
3/6/2021,80-89,73,153
3/6/2021,30-39,2135,6992
3/6/2021,50-59,1162,2464
3/6/2021,40-49,1685,3950
3/6/2021,70-79,243,347
3/6/2021,90+,19,28
3/7/2021,20-29,8755,23049
3/7/2021,0-19,3869,6521
3/7/2021,50-59,3127,6540
3/7/2021,70-79,1075,1598
3/7/2021,80-89,530,682
3/7/2021,90+,135,132
3/7/2021,30-39,6703,19757
3/7/2021,60-69,2009,3328
3/7/2021,40-49,4759,11072
3/8/2021,0-19,3342,6371
3/8/2021,20-29,8073,22524
3/8/2021,50-59,2745,7063
3/8/2021,80-89,421,771
3/8/2021,90+,106,208
3/8/2021,60-69,1628,3558
3/8/2021,30-39,5951,19509
3/8/2021,40-49,4008,11430
3/8/2021,70-79,888,1644
3/9/2021,20-29,7699,24073
3/9/2021,70-79,800,1711
3/9/2021,90+,87,164
3/9/2021,30-39,5831,19865
3/9/2021,80-89,425,761
3/9/2021,0-19,3331,7464
3/9/2021,60-69,1684,3564
3/9/2021,40-49,3996,11788
3/9/2021,50-59,2647,7087
3/10/2021,0-19,3452,5987
3/10/2021,80-89,337,421
3/10/2021,90+,87,94
3/10/2021,40-49,3448,9007
3/10/2021,30-39,4913,14944
3/10/2021,60-69,1276,2369
3/10/2021,70-79,707,1022
3/10/2021,50-59,2162,5098
3/10/2021,20-29,6707,19563
3/11/2021,60-69,1307,2870
3/11/2021,90+,74,62
3/11/2021,80-89,316,400
3/11/2021,20-29,6693,21648
3/11/2021,0-19,3082,6896
3/11/2021,50-59,2191,6324
3/11/2021,30-39,5229,18374
3/11/2021,40-49,3575,11246
3/11/2021,70-79,590,1063
3/12/2021,20-29,3399,13131
3/12/2021,90+,26,20
3/12/2021,70-79,263,472
3/12/2021,30-39,2540,11296
3/12/2021,50-59,1022,3829
3/12/2021,60-69,553,1509
3/12/2021,40-49,1758,6802
3/12/2021,0-19,1424,4054
3/12/2021,80-89,111,182
3/13/2021,50-59,715,2352
3/13/2021,60-69,326,927
3/13/2021,30-39,1676,6100
3/13/2021,90+,7,26
3/13/2021,70-79,138,336
3/13/2021,40-49,1273,4104
3/13/2021,80-89,52,147
3/13/2021,20-29,2543,8192
3/13/2021,0-19,1119,2997
3/14/2021,70-79,573,1685
3/14/2021,50-59,1919,6776
3/14/2021,30-39,4561,19707
3/14/2021,40-49,2978,11741
3/14/2021,90+,66,143
3/14/2021,60-69,1173,3498
3/14/2021,80-89,288,692
3/14/2021,20-29,6301,22230
3/14/2021,0-19,2971,7354
3/15/2021,60-69,1047,3799
3/15/2021,40-49,2960,12037
3/15/2021,50-59,1830,7084
3/15/2021,80-89,261,833
3/15/2021,0-19,2597,8034
3/15/2021,90+,57,200
3/15/2021,20-29,6131,23711
3/15/2021,30-39,4514,20389
3/15/2021,70-79,506,1962
3/16/2021,0-19,2557,7963
3/16/2021,50-59,1643,6383
3/16/2021,20-29,5662,22196
3/16/2021,80-89,257,759
3/16/2021,40-49,2779,10678
3/16/2021,70-79,519,1697
3/16/2021,90+,76,141
3/16/2021,30-39,4039,18146
3/16/2021,60-69,999,3391
3/17/2021,20-29,5219,17861
3/17/2021,50-59,1659,5519
3/17/2021,0-19,2334,6288
3/17/2021,70-79,458,1565
3/17/2021,60-69,979,2896
3/17/2021,40-49,2631,8968
3/17/2021,30-39,3948,14882
3/17/2021,80-89,228,698
3/17/2021,90+,46,155
3/18/2021,50-59,1537,5544
3/18/2021,80-89,231,641
3/18/2021,0-19,2035,5998
3/18/2021,20-29,4604,17166
3/18/2021,60-69,914,2833
3/18/2021,40-49,2418,9350
3/18/2021,70-79,427,1284
3/18/2021,30-39,3594,15015
3/18/2021,90+,66,131
3/19/2021,80-89,73,283
3/19/2021,0-19,807,2683
3/19/2021,20-29,1930,8369
3/19/2021,70-79,133,534
3/19/2021,90+,7,40
3/19/2021,30-39,1718,7518
3/19/2021,40-49,1108,4534
3/19/2021,60-69,312,1211
3/19/2021,50-59,660,2696
3/20/2021,0-19,716,2066
3/20/2021,90+,7,7
3/20/2021,80-89,47,103
3/20/2021,20-29,1764,4891
3/20/2021,50-59,460,1429
3/20/2021,60-69,225,604
3/20/2021,70-79,98,297
3/20/2021,30-39,1034,3374
3/20/2021,40-49,764,2448
3/21/2021,20-29,3990,11764
3/21/2021,0-19,1749,4538
3/21/2021,80-89,178,556
3/21/2021,90+,47,101
3/21/2021,60-69,740,2113
3/21/2021,30-39,2933,10308
3/21/2021,40-49,1831,6237
3/21/2021,50-59,1187,3713
3/21/2021,70-79,374,1034
3/22/2021,90+,69,125
3/22/2021,20-29,4185,11994
3/22/2021,70-79,409,1045
3/22/2021,30-39,3028,10238
3/22/2021,40-49,1896,6203
3/22/2021,0-19,1681,4589
3/22/2021,80-89,159,551
3/22/2021,60-69,730,1978
3/22/2021,50-59,1197,3647
